Date,Branch,Region,Product_Category,Product_Name,Size,Colour,Quantity_Sold,Unit_Price_GHS,Total_Sales_GHS,Quantity_In_Stock,Stock_Movement,Payment_Method,Customer_Type
2024-01-01,Takoradi,Western,Men's Shoes,Casual Loafer,43,Grey,3,258.19,774.57,10,Sale,Cash,Wholesale
2024-01-01,Cape Coast,Central,Women's Shoes,Ankle Boot,45,Tan,0,340.43,0.0,36,Adjustment,Cash,Retail
2024-01-01,Tarkwa,Western,Women's Shoes,Heeled Pump,37,Tan,7,358.28,2507.96,28,Sale,Mobile Money,Retail
2024-01-01,Kumasi,Ashanti,Men's Shoes,Classic Oxford,45,Black,4,348.51,1394.04,22,Sale,Cash,Retail
2024-01-02,Tema,Greater Accra,Men's Shoes,Classic Oxford,39,White,4,186.87,747.48,22,Sale,Card,Retail
2024-01-02,Accra Central,Greater Accra,Sports Shoes,Running Shoe,41,Grey,4,392.59,1570.36,75,Sale,Mobile Money,Retail
2024-01-02,Tema,Greater Accra,Children's Shoes,Canvas Shoe,44,Grey,4,114.52,458.08,81,Sale,Card,Retail
2024-01-03,Kumasi,Ashanti,Children's Shoes,Kids Sneaker,40,Tan,0,84.31,0.0,64,Restock,Card,Retail
2024-01-03,Cape Coast,Central,Children's Shoes,Canvas Shoe,38,Navy,5,112.82,564.1,66,Sale,Cash,Retail
2024-01-03,Accra Central,Greater Accra,Sports Shoes,Training Shoe,44,Brown,1,220.79,220.79,35,Sale,Cash,Retail
2024-01-04,Cape Coast,Central,Sandals,Men's Sandal,36,Red,7,102.81,719.67,51,Sale,Cash,Wholesale
2024-01-04,Tema,Greater Accra,Men's Shoes,Sports Sneaker,45,Black,0,377.72,0.0,8,Restock,Mobile Money,Retail
2024-01-05,Tema,Greater Accra,Women's Shoes,Ankle Boot,37,Tan,2,227.68,455.36,16,Sale,Cash,Retail
2024-01-05,Accra Central,Greater Accra,Men's Shoes,Sports Sneaker,43,White,1,226.84,226.84,46,Sale,Card,Retail
2024-01-05,Cape Coast,Central,Sports Shoes,Football Boot,45,Grey,0,214.79,0.0,46,Return,Card,Retail
2024-01-05,Cape Coast,Central,Men's Shoes,Classic Oxford,39,Tan,0,252.75,0.0,37,Return,Cash,Retail
2024-01-05,Accra Central,Greater Accra,Women's Shoes,Ballet Flat,40,Black,2,280.08,560.16,54,Sale,Card,Retail
2024-01-06,Accra Central,Greater Accra,Women's Shoes,Flat Sandal,44,Red,0,269.65,0.0,84,Restock,Credit,Retail
2024-01-07,Tarkwa,Western,Sandals,Ladies Slipper,41,White,2,101.48,202.96,43,Sale,Credit,Retail
2024-01-07,Tarkwa,Western,Sandals,Children's Sandal,44,White,1,61.4,61.4,13,Sale,Mobile Money,Retail
2024-01-08,Kumasi,Ashanti,Women's Shoes,Ankle Boot,39,White,5,258.49,1292.45,20,Sale,Cash,Wholesale
2024-01-08,Takoradi,Western,Sports Shoes,Running Shoe,43,Tan,2,301.69,603.38,56,Sale,Cash,Retail
2024-01-08,Kumasi,Ashanti,Children's Shoes,Canvas Shoe,39,Black,5,106.25,531.25,5,Sale,Card,Retail
2024-01-09,Tarkwa,Western,Women's Shoes,Flat Sandal,45,Tan,6,249.55,1497.3,7,Sale,Cash,Retail
2024-01-09,Accra Central,Greater Accra,Women's Shoes,Ankle Boot,36,Red,4,249.02,996.08,8,Sale,Card,Retail
2024-01-10,Tarkwa,Western,Sandals,Men's Sandal,36,Grey,1,119.95,119.95,56,Sale,Mobile Money,Retail
2024-01-10,Kumasi,Ashanti,Sandals,Children's Sandal,37,Brown,1,156.19,156.19,64,Sale,Cash,Wholesale
2024-01-11,Cape Coast,Central,Children's Shoes,Kids Sneaker,42,Navy,4,124.09,496.36,43,Sale,Cash,Retail
2024-01-11,Cape Coast,Central,Sandals,Children's Sandal,43,Red,1,131.74,131.74,63,Sale,Credit,Wholesale
2024-01-11,Accra Central,Greater Accra,Men's Shoes,Casual Loafer,42,Brown,0,432.02,0.0,33,Restock,Credit,Retail
2024-01-12,Accra Central,Greater Accra,Children's Shoes,Kids Sneaker,44,Brown,6,211.39,1268.34,21,Sale,Card,Retail
2024-01-12,Accra Central,Greater Accra,Men's Shoes,Classic Oxford,37,White,7,436.06,3052.42,67,Sale,Card,Retail
2024-01-12,Tarkwa,Western,Men's Shoes,Casual Loafer,36,White,3,398.68,1196.04,56,Sale,Credit,Retail
2024-01-13,Accra Central,Greater Accra,Men's Shoes,Sports Sneaker,38,White,5,380.56,1902.8,62,Sale,Credit,Retail
2024-01-14,Accra Central,Greater Accra,Men's Shoes,Classic Oxford,44,Grey,0,333.09,0.0,79,Return,Cash,Wholesale
2024-01-15,Cape Coast,Central,Sandals,Children's Sandal,41,Navy,7,117.54,822.78,13,Sale,Mobile Money,Retail
2024-01-15,Tarkwa,Western,Women's Shoes,Flat Sandal,40,Tan,5,331.78,1658.9,14,Sale,Credit,Retail
2024-01-15,Kumasi,Ashanti,Sandals,Ladies Slipper,45,White,4,76.71,306.84,54,Sale,Card,Retail
2024-01-15,Accra Central,Greater Accra,Children's Shoes,Canvas Shoe,42,Brown,2,120.58,241.16,60,Sale,Mobile Money,Retail
2024-01-15,Cape Coast,Central,Sports Shoes,Running Shoe,43,Tan,6,366.59,2199.54,69,Sale,Card,Retail
2024-01-16,Kumasi,Ashanti,Sandals,Men's Sandal,39,White,5,168.45,842.25,24,Sale,Mobile Money,Retail
2024-01-16,Cape Coast,Central,Sports Shoes,Football Boot,36,Red,5,326.83,1634.15,53,Sale,Credit,Retail
2024-01-16,Cape Coast,Central,Women's Shoes,Heeled Pump,38,Navy,6,316.58,1899.48,31,Sale,Cash,Wholesale
2024-01-17,Takoradi,Western,Men's Shoes,Classic Oxford,45,Navy,5,415.61,2078.05,59,Sale,Card,Wholesale
2024-01-17,Takoradi,Western,Sandals,Children's Sandal,42,Grey,2,84.04,168.08,31,Sale,Credit,Wholesale
2024-01-17,Takoradi,Western,Sports Shoes,Running Shoe,42,Navy,4,303.55,1214.2,6,Sale,Credit,Retail
2024-01-17,Kumasi,Ashanti,Children's Shoes,Kids Sneaker,39,Red,3,81.66,244.98,13,Sale,Cash,Retail
2024-01-18,Tarkwa,Western,Sandals,Ladies Slipper,40,Navy,4,104.2,416.8,12,Sale,Card,Retail
2024-01-18,Tarkwa,Western,Sports Shoes,Running Shoe,36,Navy,0,254.0,0.0,7,Restock,Credit,Wholesale
2024-01-19,Takoradi,Western,Children's Shoes,Canvas Shoe,43,White,2,129.68,259.36,52,Sale,Mobile Money,Retail
2024-01-19,Tema,Greater Accra,Sports Shoes,Running Shoe,37,Brown,0,470.86,0.0,76,Adjustment,Mobile Money,Retail
2024-01-20,Tema,Greater Accra,Children's Shoes,Kids Sneaker,37,Brown,2,138.27,276.54,38,Sale,Mobile Money,Retail
2024-01-20,Tarkwa,Western,Men's Shoes,Leather Boot,42,Tan,7,287.52,2012.64,56,Sale,Credit,Retail
2024-01-21,Takoradi,Western,Sandals,Men's Sandal,38,Tan,7,94.0,658.0,78,Sale,Mobile Money,Retail
2024-01-21,Cape Coast,Central,Women's Shoes,Ballet Flat,40,Brown,0,371.98,0.0,54,Adjustment,Card,Retail
2024-01-22,Kumasi,Ashanti,Children's Shoes,Kids Sneaker,37,Black,2,183.62,367.24,28,Sale,Mobile Money,Retail
2024-01-22,Kumasi,Ashanti,Children's Shoes,School Shoe,41,Red,7,108.5,759.5,80,Sale,Cash,Wholesale
2024-01-23,Takoradi,Western,Women's Shoes,Heeled Pump,37,Brown,3,294.3,882.9,72,Sale,Mobile Money,Retail
2024-01-23,Takoradi,Western,Men's Shoes,Classic Oxford,37,Black,4,345.69,1382.76,24,Sale,Credit,Retail
2024-01-23,Cape Coast,Central,Children's Shoes,Kids Sneaker,38,Black,0,150.99,0.0,57,Restock,Card,Retail
2024-01-23,Tarkwa,Western,Men's Shoes,Leather Boot,40,Red,6,419.82,2518.92,26,Sale,Credit,Retail
2024-01-25,Cape Coast,Central,Sports Shoes,Training Shoe,42,Black,6,482.36,2894.16,52,Sale,Card,Wholesale
2024-01-25,Tema,Greater Accra,Sandals,Children's Sandal,39,Black,1,168.72,168.72,62,Sale,Cash,Retail
2024-01-25,Accra Central,Greater Accra,Sandals,Children's Sandal,38,Red,3,77.18,231.54,11,Sale,Cash,Retail
2024-01-25,Tarkwa,Western,Sports Shoes,Running Shoe,39,Brown,1,395.24,395.24,18,Sale,Card,Retail
2024-01-26,Tema,Greater Accra,Sandals,Ladies Slipper,44,White,0,135.13,0.0,36,Restock,Cash,Retail
2024-01-26,Accra Central,Greater Accra,Sandals,Children's Sandal,39,Navy,5,127.15,635.75,27,Sale,Cash,Retail
2024-01-27,Tarkwa,Western,Men's Shoes,Casual Loafer,37,White,3,297.07,891.21,29,Sale,Card,Wholesale
2024-01-27,Accra Central,Greater Accra,Sandals,Men's Sandal,36,Brown,5,96.64,483.2,17,Sale,Credit,Retail
2024-01-28,Takoradi,Western,Women's Shoes,Flat Sandal,36,Tan,7,155.72,1090.04,56,Sale,Mobile Money,Retail
2024-01-28,Kumasi,Ashanti,Children's Shoes,Canvas Shoe,42,Navy,5,169.08,845.4,12,Sale,Credit,Wholesale
2024-01-28,Cape Coast,Central,Sandals,Men's Sandal,41,Grey,2,100.94,201.88,59,Sale,Cash,Retail
2024-01-28,Tarkwa,Western,Women's Shoes,Ankle Boot,42,White,3,307.98,923.94,72,Sale,Mobile Money,Retail
2024-01-29,Tarkwa,Western,Sandals,Men's Sandal,40,Tan,7,115.64,809.48,82,Sale,Mobile Money,Retail
2024-01-29,Accra Central,Greater Accra,Sports Shoes,Training Shoe,41,White,0,313.21,0.0,27,Adjustment,Cash,Wholesale
2024-01-29,Tarkwa,Western,Sports Shoes,Football Boot,45,Black,3,460.21,1380.63,13,Sale,Mobile Money,Wholesale
2024-01-29,Cape Coast,Central,Sandals,Children's Sandal,44,Tan,2,116.63,233.26,18,Sale,Card,Retail
2024-01-29,Cape Coast,Central,Sandals,Men's Sandal,39,Black,3,119.41,358.23,76,Sale,Mobile Money,Retail
2024-02-01,Kumasi,Ashanti,Sandals,Ladies Slipper,39,Red,0,104.84,0.0,48,Adjustment,Cash,Retail
2024-02-02,Accra Central,Greater Accra,Women's Shoes,Heeled Pump,44,Navy,0,225.19,0.0,74,Return,Cash,Retail
2024-02-02,Tarkwa,Western,Sports Shoes,Training Shoe,43,White,2,306.76,613.52,23,Sale,Card,Retail
2024-02-03,Takoradi,Western,Sports Shoes,Training Shoe,42,Brown,5,215.02,1075.1,80,Sale,Mobile Money,Retail
2024-02-03,Tema,Greater Accra,Men's Shoes,Casual Loafer,37,Black,3,438.65,1315.95,45,Sale,Cash,Retail
2024-02-03,Takoradi,Western,Men's Shoes,Classic Oxford,44,Brown,3,287.85,863.55,50,Sale,Card,Retail
2024-02-04,Tarkwa,Western,Sports Shoes,Football Boot,36,Navy,3,249.82,749.46,34,Sale,Card,Retail
2024-02-04,Tema,Greater Accra,Men's Shoes,Casual Loafer,45,Navy,0,294.62,0.0,11,Restock,Credit,Retail
2024-02-05,Cape Coast,Central,Men's Shoes,Casual Loafer,39,White,0,208.48,0.0,27,Restock,Mobile Money,Retail
2024-02-05,Accra Central,Greater Accra,Sports Shoes,Training Shoe,39,Navy,0,220.1,0.0,16,Restock,Credit,Wholesale
2024-02-06,Accra Central,Greater Accra,Children's Shoes,Kids Sneaker,40,White,6,86.58,519.48,17,Sale,Credit,Retail
2024-02-06,Tarkwa,Western,Sandals,Men's Sandal,44,Tan,1,67.46,67.46,9,Sale,Cash,Retail
2024-02-06,Accra Central,Greater Accra,Sports Shoes,Running Shoe,36,Tan,1,437.83,437.83,7,Sale,Cash,Retail
2024-02-07,Accra Central,Greater Accra,Men's Shoes,Casual Loafer,36,Grey,7,396.62,2776.34,78,Sale,Cash,Wholesale
2024-02-07,Kumasi,Ashanti,Sports Shoes,Football Boot,41,Navy,6,289.19,1735.14,24,Sale,Credit,Retail
2024-02-08,Kumasi,Ashanti,Sandals,Ladies Slipper,40,Black,0,95.15,0.0,63,Restock,Mobile Money,Retail
